"Cluster","Count"
"VndV",39
"VbdV",1
"VksV",22
"Vdʒ",56
"Vpt",12
"Vnt",131
"VmpV",41
"VmplV",16
"VɹdV",9
"VntV",72
"VkjV",12
"VmjV",6
"Vɹd",19
"VtʃV",23
"VbsV",5
"Vns",53
"VbɹV",13
"Vɹb",1
"VbjV",8
"VdɹV",4
"VkwV",11
"VkɹV",7
"Vkt",47
"VkʃV",21
"VvmV",4
"VktʃV",8
"VdmV",2
"VdvV",8
"Vlt",16
"VntʃV",4
"VzmV",2
"VsθV",1
"Vnst",1
"VfɹV",5
"VftV",5
"VltʃV",4
"VkpV",1
"VktV",20
"Vld",18
"VlkV",4
"Vɹm",14
"Vŋk",16
"VŋkɹV",3
"VɹbV",4
"VɹlV",7
"Vɹk",12
"VsmV",4
"VskV",17
"VθɹV",1
"VstV",52
"VmbV",25
"VdʒV",49
"VɹɾV",9
"VlmV",7
"Vnd",68
"Vst",95
"VŋsV",1
"VlfV",3
"VlɹV",3
"VlsV",3
"VltV",7
"VlðV",1
"VlwV",2
"VnsV",33
"VŋkV",12
"VndʒV",14
"Vtʃ",43
"bjV",4
"VvjV",4
"VɹtmV",2
"Vntʃ",9
"VŋzV",1
"VŋʃV",1
"Vdz",2
"Vks",24
"VplV",6
"VpɹV",13
"Vɹtʃ",4
"VɹkV",7
"VɹmV",13
"VɹmpV",1
"Vndʒ",11
"VɹsV",4
"Vɹt",31
"Vkst",3
"VɹtV",3
"VŋkwV",3
"VnvV",14
"VθlV",1
"VstɹV",12
"VtmV",4
"Vmpt",4
"blV",27
"VtɹV",13
"VlkjV",1
"VsfV",2
"VmɹV",1
"Vmp",17
"VvɹV",6
"VpsjV",1
"VptʃV",1
"VɹfV",4
"VɹpV",2
"VldɹV",2
"VntɹV",15
"Vʔn",4
"VʔnlV",1
"VldV",11
"bɹV",36
"VslV",3
"tʃV",41
"VptV",4
"Vɹdʒ",5
"VkfV",1
"kwV",13
"Vnz",3
"Vzd",1
"klV",38
"VɹɹV",13
"VɹknV",1
"Vɹn",6
"VznV",1
"VʃbV",1
"Vðz",1
"Vlz",3
"Vps",3
"VmfV",3
"VmftV",1
"VŋklV",3
"VpjV",6
"VnfɹV",2
"VnfV",17
"VnʃV",9
"VmpɹV",5
"VnfjV",1
"VnjV",8
"VnstV",5
"VnstɹV",4
"VtlV",4
"VɹnV",5
"VpʃV",4
"Vɹps",1
"Vsk",8
"kɹV",49
"Vft",13
"Vsp",3
"VstʃV",7
"Vɹs",11
"VskɹV",1
"VsplV",1
"VspV",8
"VsɹV",1
"Vlv",7
"Vŋkt",2
"kjV",4
"VθkwV",1
"VklV",5
"dɹV",30
"VtʃlV",1
"VlbV",1
"Vls",4
"Vnts",2
"VnθV",1
"VktɹV",2
"Vlf",3
"VbstV",4
"Vlk",3
"dwV",5
"Vɹf",2
"VɹvV",4
"VŋdV",2
"VmbɹV",5
"VmptV",4
"VnhV",5
"VnlV",11
"VnɹV",1
"VnmV",2
"fjV",7
"VpmV",1
"Vlm",1
"VtsV",3
"VθnV",2
"VblV",9
"VkstʃV",1
"flV",30
"VmkV",2
"VvnV",1
"VktlV",1
"VksklV",2
"VkskɹV",1
"VkskjV",2
"VkspV",11
"VksplV",5
"VkspɹV",3
"VkstV",6
"VkstɹV",2
"dʒV",39
"VtpV",1
"VtpɹV",1
"VɹhV",1
"VɹmjV",1
"fɹV",23
"VnzV",1
"VndlV",2
"VlfɹV",1
"VflV",1
"VndkV",1
"VndsV",1
"VɹdlV",2
"VshV",2
"VbdʒV",2
"Vlθ",2
"VlθV",1
"Vlp",2
"VdbV",1
"VɹdʒV",2
"VndfV",1
"VndmV",1
"VmlV",2
"hjV",5
"VndɹV",2
"VsbV",2
"VlnV",1
"Vldʒ",1
"VnflV",2
"VnspV",4
"VdnV",4
"Vŋθ",2
"VtnV",3
"VpstV",1
"VksmV",1
"VmwV",3
"VddV",1
"VpkV",1
"Vnθ",1
"VfjV",2
"VknV",5
"mjV",5
"VbskjV",1
"VbtV",1
"VfspɹV",1
"Vɹθ",2
"VɹθlV",1
"VɹslV",1
"VɹtnV",1
"Vʔnt",1
"njV",1
"VnsjV",1
"VswV",1
"VɹtʃV",2
"plV",27
"VtfV",1
"VtkV",3
"VɹʃV",1
"VstpV",2
"VltɹV",2
"pɹV",80
"pjV",2
"VnbV",2
"VmpkV",1
"VntlV",1
"VmnV",1
"VskjV",2
"VŋktjV",1
"skV",31
"skɹV",10
"VvðV",1
"Vɹp",1
"VdwV",2
"ʃɹV",4
"VlvV",1
"slV",16
"smV",11
"snV",10
"spV",45
"VldʒV",2
"VmθV",1
"VmtV",1
"Vmz",1
"sfV",1
"splV",2
"spɹV",5
"skwV",6
"θɹV",9
"stV",73
"Vɹv",1
"VtstV",1
"Vɹz",1
"VlɾV",1
"stɹV",20
"swV",15
"VthV",1
"VdlV",1
"Vɹdz",1
"tɹV",56
"VnsfV",1
"VnslV",1
"VljV",3
"twV",4
"VnwV",1
"VpdV",1
"VpsV",1
"vjV",1
"VɹdɹV",1
"Vtθ",1
"VldlV",2
"VθdɹV",1
"VðstV",1
"VŋkʃV",1
